"","correlation","t-stat","p-value","FDR"
"CHOYP_BRAFLDRAFT_206907.11.11m.60959",-0.49694,-2.4962,0.021917,0.52816
"CHOYP_EF1A.2.4m.50858",0.49662,2.494,0.022015,0.52816
"CHOYP_CRIM1.2.3m.5811",0.49639,2.4925,0.022088,0.52816
"CHOYP_BUD31.3.3m.64519",0.49582,2.4887,0.022265,0.52816
"CHOYP_K6PF.1.1m.46882",0.49514,2.4842,0.022478,0.52816
"CHOYP_PHUM_PHUM536560.2.2m.59367",0.49505,2.4835,0.022508,0.52816
"CHOYP_LOC661226.1.1m.62936",0.49501,2.4833,0.02252,0.52816
"CHOYP_BRAFLDRAFT_99083.1.1m.11705",0.49481,2.482,0.022582,0.52816
"CHOYP_RGD1309762.1.1m.47917",0.49461,2.4806,0.022645,0.52816
"CHOYP_LOC101068272.1.3m.40396",0.49405,2.4769,0.022823,0.52816
"CHOYP_UBP34.1.1m.55124",-0.49394,-2.4762,0.022858,0.52816
"CHOYP_LOC100372945.2.2m.47110",0.4934,2.4726,0.02303,0.52816
"CHOYP_MALT1.1.1m.53909",0.49301,2.47,0.023155,0.52816
"CHOYP_NEMVEDRAFT_V1G212280.3.3m.30224",0.49295,2.4696,0.023174,0.52816
"CHOYP_BRAFLDRAFT_67999.1.1m.44535",0.49266,2.4677,0.023267,0.52816
"CHOYP_FYV1.1.1m.41923",0.49266,2.4677,0.023267,0.52816
"CHOYP_LOC100375514.2.6m.12927",0.49266,2.4677,0.023267,0.52816
"CHOYP_TRIADDRAFT_62546.2.2m.56798",0.49266,2.4677,0.023267,0.52816
"CHOYP_contig_037938m.42800",0.49266,2.4677,0.023267,0.52816
"CHOYP_NEMVEDRAFT_V1G237598.1.1m.11619",0.49253,2.4668,0.023311,0.52816
"CHOYP_LOC100369290.1.1m.66929",0.49144,2.4596,0.023667,0.52816
"CHOYP_contig_054901m.65508",0.49144,2.4596,0.023667,0.52816
"CHOYP_PTPRF.3.6m.28841",0.49144,2.4596,0.023667,0.52816
"CHOYP_BRAFLDRAFT_241287.1.1m.5544",0.49137,2.4592,0.023687,0.52816
"CHOYP_TAF1.1.1m.31656",0.49135,2.4591,0.023694,0.52816
"CHOYP_RABGAP1.1.1m.50532",0.49099,2.4567,0.023813,0.52816
"CHOYP_CGL.1.2m.31960",0.49098,2.4566,0.023818,0.52816
"CHOYP_GIGA6.1.1m.38687",0.49065,2.4545,0.023924,0.52816
"CHOYP_ARRB.1.2m.25932",0.49041,2.4529,0.024003,0.52816
"CHOYP_TMO_0856.1.3m.5045",0.49016,2.4512,0.024088,0.52816
"CHOYP_LOC100118291.1.1m.54817",0.49015,2.4512,0.02409,0.52816
"CHOYP_C1TC.1.1m.28294",0.4898,2.4488,0.024208,0.52816
"CHOYP_contig_007115m.8183",-0.4897,-2.4482,0.024241,0.52816
"CHOYP_ANKY2.2.2m.44213",0.48932,2.4457,0.024367,0.52816
"CHOYP_LOC100367201.2.2m.61573",0.48913,2.4444,0.024432,0.52816
"CHOYP_contig_024035m.27331",0.4884,2.4397,0.024677,0.52816
"CHOYP_BRAFLDRAFT_93030.1.1m.29276",0.48751,2.4338,0.024981,0.52816
"CHOYP_SMP_051990.5.7m.43424",0.48738,2.4329,0.025026,0.52816
"CHOYP_IMG5_163910.1.1m.46747",0.4872,2.4318,0.025088,0.52816
"CHOYP_LOC100553519.1.1m.20707",-0.48714,-2.4314,0.025107,0.52816
"CHOYP_LOC100696604.1.1m.40638",0.48695,2.4302,0.025171,0.52816
"CHOYP_contig_022142m.25369",0.48693,2.43,0.025181,0.52816
"CHOYP_contig_016017m.18760",0.48679,2.4291,0.025227,0.52816
"CHOYP_MIB2.5.6m.43978",0.48626,2.4257,0.025409,0.52816
"CHOYP_LOC101242114.1.1m.13149",0.48592,2.4234,0.025529,0.52816
"CHOYP_LOC588440.1.1m.4951",0.48588,2.4232,0.025542,0.52816
"CHOYP_NEMVEDRAFT_V1G154974.1.1m.44261",0.48536,2.4198,0.025723,0.52816
"CHOYP_CLP1.1.1m.11641",0.48536,2.4198,0.025723,0.52816
"CHOYP_SI_CH211-250G4.3.1.2m.7118",0.48536,2.4198,0.025723,0.52816
"CHOYP_BRAFLDRAFT_126750.1.1m.40768",0.48536,2.4198,0.025723,0.52816
"CHOYP_LOC100117917.1.1m.21225",0.48473,2.4157,0.025945,0.52816
"CHOYP_ISCW_ISCW020028.1.1m.57937",0.48369,2.4089,0.026312,0.52816
"CHOYP_LOC101416772.1.1m.30815",0.48359,2.4083,0.026349,0.52816
"CHOYP_MK01.1.1m.48878",0.48318,2.4056,0.026496,0.52816
"CHOYP_BRAFLDRAFT_120993.1.2m.41307",0.48314,2.4053,0.02651,0.52816
"CHOYP_BRAFLDRAFT_99073.1.1m.18282",0.48314,2.4053,0.02651,0.52816
"CHOYP_GRP78.2.5m.33058",0.48277,2.4029,0.026642,0.52816
"CHOYP_HSP90AA1.1.1m.14867",0.48251,2.4012,0.026738,0.52816
"CHOYP_NRDC.1.1m.28526",-0.48217,-2.399,0.026858,0.52816
"CHOYP_LOC100907841.1.1m.39986",0.48185,2.3969,0.026976,0.52816
"CHOYP_BRAFLDRAFT_126411.1.1m.49664",0.48143,2.3942,0.02713,0.52816
"CHOYP_PRRC1.1.1m.6820",0.48117,2.3925,0.027225,0.52816
"CHOYP_LOC100369031.1.1m.19197",0.48114,2.3923,0.027236,0.52816
"CHOYP_AGRIN.2.5m.5339",0.48093,2.391,0.027312,0.52816
"CHOYP_STING.3.3m.61083",0.48057,2.3887,0.027444,0.52816
"CHOYP_FAT1.4.4m.63315",-0.48044,-2.3878,0.027493,0.52816
"CHOYP_MYG1.1.1m.4971",-0.48035,-2.3872,0.027526,0.52816
"CHOYP_LOC100375168.1.1m.23641",0.48015,2.386,0.027597,0.52816
"CHOYP_MYS.1.7m.433",0.47995,2.3847,0.027673,0.52816
"CHOYP_LOC587133.1.1m.61281",0.47952,2.3819,0.027832,0.52816
"CHOYP_contig_014479m.16604",0.47941,2.3812,0.027872,0.52816
"CHOYP_LOC100563952.1.1m.30232",0.47933,2.3806,0.027905,0.52816
"CHOYP_FKBP12.1.1m.32709",0.47932,2.3806,0.027908,0.52816
"CHOYP_ZADH2.1.3m.13137",0.4793,2.3805,0.027914,0.52816
"CHOYP_MYS.7.7m.44342",0.47919,2.3798,0.027956,0.52816
"CHOYP_LOC100863781.1.1m.33751",0.4788,2.3772,0.028103,0.52816
"CHOYP_LOC100889564.1.1m.17149",-0.47809,-2.3727,0.028369,0.52816
"CHOYP_ARF6.1.2m.3974",0.47809,2.3727,0.028369,0.52816
"CHOYP_contig_016559m.19503",-0.47799,-2.372,0.028409,0.52816
"CHOYP_PSTPIP1.1.1m.39114",0.47767,2.37,0.028527,0.52816
"CHOYP_LOC100123907.1.1m.2987",-0.47765,-2.3698,0.028536,0.52816
"CHOYP_TRI33.5.8m.56889",0.47727,2.3674,0.028679,0.52816
"CHOYP_MF-CPA.1.1m.3630",0.47693,2.3652,0.02881,0.52816
"CHOYP_LOC100370583.1.1m.56859",0.47691,2.3651,0.028819,0.52816
"CHOYP_LOC100366766.1.1m.56292",0.47618,2.3604,0.0291,0.52816
"CHOYP_LOC100142119.1.2m.2339",0.47611,2.3599,0.029127,0.52816
"CHOYP_LOC100374741.72.83m.60196",0.47596,2.359,0.029185,0.52816
"CHOYP_LOC100373488.1.1m.10129",0.47583,2.3582,0.029234,0.52816
"CHOYP_LOC100744356.1.1m.49326",0.47561,2.3568,0.029319,0.52816
"CHOYP_LOC100370941.1.1m.59883",-0.47555,-2.3564,0.029343,0.52816
"CHOYP_ARP3.1.1m.6867",0.4753,2.3548,0.029441,0.52816
"CHOYP_CRE-DIG-1.1.1m.26794",0.47519,2.3541,0.029483,0.52816
"CHOYP_LOC583472.1.1m.25642",0.47512,2.3536,0.029509,0.52816
"CHOYP_LOC101156833.1.1m.38739",0.47511,2.3536,0.029513,0.52816
"CHOYP_OFUT1.1.1m.41737",0.47486,2.3519,0.029613,0.52816
"CHOYP_contig_053329m.63915",0.47425,2.3481,0.029851,0.52816
"CHOYP_STK31.1.1m.16297",-0.47374,-2.3448,0.030053,0.52816
"CHOYP_LOC579681.1.1m.25827",0.47369,2.3445,0.030074,0.52816
"CHOYP_MONBRDRAFT_34989.1.1m.34385",0.47365,2.3442,0.030089,0.52816
"CHOYP_contig_051534m.61634",0.47314,2.3409,0.030292,0.52816
"CHOYP_BRAFLDRAFT_226416.1.1m.56984",0.47259,2.3375,0.030511,0.52816
"CHOYP_LOC592857.1.1m.62834",-0.47246,-2.3366,0.030564,0.52816
"CHOYP_contig_004609m.5296",0.47246,2.3366,0.030564,0.52816
"CHOYP_C1QL4.7.10m.49245",0.47246,2.3366,0.030564,0.52816
"CHOYP_contig_025725m.29348",0.47238,2.3361,0.030595,0.52816
"CHOYP_MDHC.1.1m.57053",0.47202,2.3339,0.030738,0.52816
"CHOYP_AAEL_AAEL002467.1.2m.47358",0.47175,2.3322,0.030846,0.52816
"CHOYP_LOC100376187.1.2m.22540",0.4717,2.3318,0.030869,0.52816
"CHOYP_LOC100692795.2.2m.50682",0.4715,2.3305,0.030951,0.52816
"CHOYP_LOC100639369.1.1m.23669",0.4715,2.3305,0.030951,0.52816
"CHOYP_ISCW_ISCW017519.1.2m.935",0.47135,2.3296,0.031009,0.52816
"CHOYP_BRAFLDRAFT_284130.1.1m.27065",0.47118,2.3285,0.031077,0.52816
"CHOYP_contig_043280m.49983",0.47063,2.325,0.031305,0.52816
"CHOYP_LOC100648516.1.1m.64902",0.47028,2.3228,0.031447,0.52816
"CHOYP_LOC100367535.1.2m.4730",0.47027,2.3227,0.03145,0.52816
"CHOYP_GNBPB3.1.1m.55379",0.4698,2.3197,0.031644,0.52816
"CHOYP_LOC100889837.2.2m.31074",0.46933,2.3168,0.031836,0.52816
"CHOYP_MUC4.1.1m.41314",0.46884,2.3137,0.032042,0.52816
"CHOYP_LOC100142249.1.1m.55762",0.46852,2.3117,0.032174,0.52816
"CHOYP_PLRG1.1.1m.65600",0.46838,2.3107,0.032235,0.52816
"CHOYP_NGAP.2.2m.63455",0.46831,2.3103,0.032263,0.52816
"CHOYP_TVAG_355490.15.22m.47579",-0.46806,-2.3087,0.032368,0.52816
"CHOYP_CPIPJ_CPIJ008112.1.1m.51524",0.46787,2.3076,0.032446,0.52816
"CHOYP_LOC586005.1.1m.63556",0.46784,2.3073,0.032461,0.52816
"CHOYP_LOC100370603.1.1m.51092",0.46694,2.3017,0.032841,0.52816
"CHOYP_KC1D.3.3m.61498",0.46692,2.3015,0.032849,0.52816
"CHOYP_KIF2A.2.2m.62686",0.46645,2.2986,0.033047,0.52816
"CHOYP_PITG_07096.1.1m.4922",0.46641,2.2983,0.033066,0.52816
"CHOYP_ISCW_ISCW017872.2.2m.60293",0.46625,2.2973,0.033133,0.52816
"CHOYP_BRAFLDRAFT_92908.1.1m.36182",0.46625,2.2973,0.033133,0.52816
"CHOYP_DHPS.1.1m.55870",0.46625,2.2973,0.033133,0.52816
"CHOYP_LOC100373186.1.1m.58981",0.46625,2.2973,0.033133,0.52816
"CHOYP_contig_047908m.56622",0.46625,2.2973,0.033133,0.52816
"CHOYP_contig_042244m.48592",0.46625,2.2973,0.033133,0.52816
"CHOYP_LOC100374849.1.4m.16004",0.46625,2.2973,0.033133,0.52816
"CHOYP_DVIR_GJ20612.1.1m.14542",0.46552,2.2928,0.033445,0.52816
"CHOYP_LOC100375820.1.1m.62640",0.4651,2.2901,0.033628,0.52816
"CHOYP_BPHL.1.1m.55822",0.46463,2.2871,0.033833,0.52816
"CHOYP_LOC100375395.1.2m.3613",0.46458,2.2868,0.033855,0.52816
"CHOYP_contig_035380m.40136",0.46456,2.2867,0.033862,0.52816
"CHOYP_LOC100649130.1.1m.58207",0.46442,2.2858,0.033925,0.52816
"CHOYP_LOC100123521.2.2m.52492",0.46437,2.2855,0.033944,0.52816
"CHOYP_TRIADDRAFT_38448.1.1m.27929",0.46434,2.2853,0.033957,0.52816
"CHOYP_THTR.1.1m.25923",0.46413,2.284,0.034048,0.52816
"CHOYP_NPC2.5.7m.30911",0.46393,2.2827,0.034139,0.52816
"CHOYP_CD36_40650.1.1m.47015",0.4635,2.28,0.034326,0.52816
"CHOYP_CPIPJ_CPIJ007723.1.4m.5854",0.46348,2.2799,0.034333,0.52816
"CHOYP_LOC754557.1.2m.5492",0.46326,2.2786,0.03443,0.52816
"CHOYP_contig_016637m.19603",0.46252,2.2739,0.034758,0.52816
"CHOYP_CG14207.1.1m.41523",0.46241,2.2732,0.034808,0.52816
"CHOYP_BRAFLDRAFT_221115.1.1m.28512",0.46223,2.2721,0.034888,0.52816
"CHOYP_DOCK7.1.3m.1197",0.46217,2.2717,0.034913,0.52816
"CHOYP_ACTN.1.2m.15252",0.4619,2.2701,0.035032,0.52816
"CHOYP_HS12B.7.14m.40601",0.46166,2.2685,0.035143,0.52816
"CHOYP_DPSE_GA30464.1.1m.65390",0.4616,2.2682,0.035167,0.52816
"CHOYP_LOC100372482.1.1m.61581",0.46159,2.2681,0.035171,0.52816
"CHOYP_AAEL_AAEL008069.2.2m.60921",0.46159,2.2681,0.035171,0.52816
"CHOYP_BRAFLDRAFT_114006.1.1m.49056",0.46155,2.2678,0.035192,0.52816
"CHOYP_LOC100373374.1.1m.7546",0.4612,2.2657,0.035346,0.52816
"CHOYP_contig_038550m.43669",0.46111,2.2651,0.035387,0.52816
"CHOYP_ZNF85.1.1m.65738",-0.46108,-2.265,0.0354,0.52816
"CHOYP_LOC574855.1.9m.547",0.46108,2.265,0.0354,0.52816
"CHOYP_UAFA.3.8m.34702",0.46058,2.2618,0.035626,0.52816
"CHOYP_contig_009176m.10652",0.4605,2.2613,0.035662,0.52816
"CHOYP_LOC100367237.2.2m.47349",0.46032,2.2602,0.035744,0.52816
"CHOYP_IDE.1.3m.8450",-0.45994,-2.2578,0.035919,0.52816
"CHOYP_AGRIN.3.5m.5652",0.45983,2.2571,0.03597,0.52816
"CHOYP_ADD.3.5m.17639",0.45974,2.2566,0.036007,0.52816
"CHOYP_FASN.3.4m.60278",-0.45931,-2.2539,0.036207,0.52816
"CHOYP_LOC100376457.2.2m.51737",0.45924,2.2535,0.036236,0.52816
"CHOYP_AAEL_AAEL008069.2.2m.60920",0.45924,2.2535,0.036238,0.52816
"CHOYP_LOC584368.1.2m.10628",0.45901,2.252,0.036344,0.52816
"CHOYP_LOC101169131.2.2m.32499",-0.45893,-2.2515,0.036379,0.52816
"CHOYP_ATG2A.1.1m.57169",0.45883,2.2509,0.036425,0.52816
"CHOYP_ZN706.1.2m.11926",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_125999.1.1m.24819",0.45883,2.2509,0.036425,0.52816
"CHOYP_CO9A1.1.1m.62338",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100367956.2.2m.62044",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100123307.1.1m.13647",0.45883,2.2509,0.036425,0.52816
"CHOYP_UBP32.1.1m.56373",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC794295.1.1m.42748",0.45883,2.2509,0.036425,0.52816
"CHOYP_TVAG_020440.14.21m.33137",0.45883,2.2509,0.036425,0.52816
"CHOYP_KAT5.1.1m.9015",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100888702.1.1m.56287",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_98740.3.7m.46571",0.45883,2.2509,0.036425,0.52816
"CHOYP_RBM19.1.2m.28228",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_61250.8.14m.44214",0.45883,2.2509,0.036425,0.52816
"CHOYP_MPST.1.1m.11853",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_264304.1.1m.35625",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100372487.1.1m.39712",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100745330.1.1m.65802",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100888910.1.1m.64827",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100371043.3.5m.24649",0.45883,2.2509,0.036425,0.52816
"CHOYP_WDHD1.1.1m.23505",0.45883,2.2509,0.036425,0.52816
"CHOYP_ABCB6.3.3m.53101",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_85170.1.1m.8699",0.45883,2.2509,0.036425,0.52816
"CHOYP_ISCW_ISCW011328.1.1m.8861",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100367144.1.1m.34153",0.45883,2.2509,0.036425,0.52816
"CHOYP_BCL3.1.2m.56007",0.45883,2.2509,0.036425,0.52816
"CHOYP_CRE_06881.1.1m.62783",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100691486.1.1m.24964",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC101076145.1.1m.26253",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_223573.1.1m.4526",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC101156767.1.1m.65605",0.45883,2.2509,0.036425,0.52816
"CHOYP_AGSA.1.1m.5200",0.45883,2.2509,0.036425,0.52816
"CHOYP_DHB12.1.1m.62534",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100533245.3.6m.31982",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_236936.2.6m.17168",0.45883,2.2509,0.036425,0.52816
"CHOYP_CELE_Y64G10A.7.3.4m.53262",0.45883,2.2509,0.036425,0.52816
"CHOYP_RABX5.1.2m.26033",0.45883,2.2509,0.036425,0.52816
"CHOYP_RORA.1.2m.59037",0.45883,2.2509,0.036425,0.52816
"CHOYP_SMG5.1.1m.21320",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_119367.1.1m.59963",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_61250.5.14m.37733",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100373327.2.13m.16978",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100697720.1.2m.5790",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_115029.1.2m.8365",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100659825.1.1m.62706",0.45883,2.2509,0.036425,0.52816
"CHOYP_NUPL2.1.2m.4693",0.45883,2.2509,0.036425,0.52816
"CHOYP_MEG10.11.91m.21604",0.45883,2.2509,0.036425,0.52816
"CHOYP_PTPRQ.6.8m.45809",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC584416.1.1m.34286",0.45883,2.2509,0.036425,0.52816
"KRUC_SHEEP",0.45883,2.2509,0.036425,0.52816
"CHOYP_NAEGRDRAFT_49892.1.1m.10608",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_99539.1.1m.55866",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_031433m.35919",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_044629m.51700",0.45883,2.2509,0.036425,0.52816
"CHOYP_NEMVEDRAFT_V1G206150.1.1m.39762",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_045427m.52825",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100374116.1.1m.37009",0.45883,2.2509,0.036425,0.52816
"CHOYP_PTPRA.9.22m.46547",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_009697m.11280",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_047294m.55755",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100366763.1.1m.53709",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_95739.2.2m.57592",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100374839.1.1m.63735",0.45883,2.2509,0.036425,0.52816
"CHOYP_PLXA3.1.1m.51322",0.45883,2.2509,0.036425,0.52816
"CHOYP_ZGC_113208.1.1m.15618",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_010659m.12347",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100633059.1.1m.20098",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_051346m.61337",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_023043m.26235",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_67264.4.6m.42082",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_014279m.16311",0.45883,2.2509,0.036425,0.52816
"CHOYP_LOC100491753.1.3m.45589",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_014867m.17143",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_040481m.45927",0.45883,2.2509,0.036425,0.52816
"CHOYP_BRAFLDRAFT_125516.1.1m.13150",0.45883,2.2509,0.036425,0.52816
"CHOYP_contig_000121m.127",0.45883,2.2509,0.036425,0.52816
"CHOYP_MYD88.4.7m.31202",0.45883,2.2509,0.036425,0.52816
"CHOYP_F10A1.4.4m.44752",0.45874,2.2503,0.036468,0.52816
"CHOYP_PARN.1.1m.19023",-0.45796,-2.2455,0.036825,0.5324
"CHOYP_LOC100558815.1.1m.30536",0.45758,2.2432,0.037005,0.53407
"CHOYP_contig_043072m.49721",0.45696,2.2393,0.037293,0.53561
"CHOYP_BRAFLDRAFT_131414.1.1m.9300",0.45695,2.2393,0.037297,0.53561
"CHOYP_LOC100372467.1.1m.42336",0.45694,2.2392,0.037304,0.53561
"CHOYP_TENA.5.5m.43448",0.45632,2.2353,0.037597,0.53888
"CHOYP_contig_016120m.18916",0.45596,2.2331,0.037765,0.5398
"CHOYP_LOC578781.2.5m.8827",0.45573,2.2317,0.037873,0.5398
"CHOYP_CAOG_04686.2.2m.28117",0.45566,2.2313,0.037907,0.5398
"CHOYP_LR16A.3.3m.59538",0.45563,2.2311,0.037919,0.5398
"CHOYP_BRAFLDRAFT_268929.1.1m.35240",0.45522,2.2286,0.038115,0.54166
"CHOYP_MARE3.1.1m.30069",0.45492,2.2267,0.038262,0.54283
"CHOYP_contig_026567m.30260",0.45422,2.2224,0.038595,0.54596
"CHOYP_PGTG_12376.1.2m.43330",0.45418,2.2222,0.038614,0.54596
"CHOYP_BRAFLDRAFT_249506.2.2m.60314",-0.45374,-2.2194,0.038826,0.54608
"CHOYP_BRAFLDRAFT_121667.1.2m.12193",-0.45371,-2.2193,0.038841,0.54608
"CHOYP_BRAFLDRAFT_117811.1.1m.27127",0.45364,2.2188,0.038874,0.54608
"CHOYP_NEMVEDRAFT_V1G86312.1.1m.10844",-0.45362,-2.2187,0.038884,0.54608
"CHOYP_BRAFLDRAFT_240914.2.3m.29586",0.45348,2.2178,0.038953,0.54613
"CHOYP_contig_025962m.29619",0.45303,2.2151,0.039172,0.54623
"CHOYP_LOC100711559.1.1m.10313",0.45297,2.2147,0.039202,0.54623
"CHOYP_PHUM_PHUM128460.6.7m.60989",0.45296,2.2146,0.039207,0.54623
"CHOYP_LOC100876515.2.2m.54514",0.45282,2.2137,0.039276,0.54623
"CHOYP_contig_032947m.37658",-0.45279,-2.2136,0.039288,0.54623
"CHOYP_NEMVEDRAFT_V1G242065.1.1m.21817",0.4522,2.21,0.039576,0.54933
"CHOYP_LOC100177909.1.1m.29356",-0.45113,-2.2034,0.040105,0.55115
"CHOYP_CCD53.1.1m.6684",0.45113,2.2034,0.040105,0.55115
"CHOYP_PHUM_PHUM268120.1.1m.23332",0.45091,2.202,0.040216,0.55115
"CHOYP_SF3A3.1.1m.50392",0.45058,2.2,0.040378,0.55115
"CHOYP_CTBL1.1.1m.22983",0.45056,2.1999,0.04039,0.55115
"CHOYP_LOC100369302.1.3m.6808",0.44993,2.196,0.040705,0.55115
"CHOYP_BRAFLDRAFT_74063.1.5m.2740",0.44976,2.195,0.04079,0.55115
"CHOYP_CIC.1.2m.57436",0.44936,2.1925,0.040993,0.55115
"CHOYP_LACB2.1.1m.31957",0.44901,2.1904,0.041167,0.55115
"CHOYP_DSPP.6.8m.47723",-0.44901,-2.1904,0.041167,0.55115
"CHOYP_LOC100367637.1.1m.55661",-0.44851,-2.1873,0.041424,0.55115
"CHOYP_SPTCA.2.2m.25615",-0.44833,-2.1862,0.041517,0.55115
"CHOYP_PHUM_PHUM536560.1.2m.12360",-0.4483,-2.1861,0.041529,0.55115
"CHOYP_NTF-2.1.1m.38498",0.44824,2.1857,0.041561,0.55115
"CHOYP_RIPL1.1.1m.59984",0.44813,2.185,0.041617,0.55115
"CHOYP_LOC100377034.1.1m.6251",0.44798,2.1841,0.041694,0.55115
"CHOYP_SYYC.2.2m.58390",0.44764,2.1821,0.041866,0.55115
"CHOYP_BRAFLDRAFT_124027.1.2m.22812",0.44744,2.1808,0.041969,0.55115
"CHOYP_HIF1N.1.1m.53726",0.44722,2.1795,0.042081,0.55115
"CHOYP_LOC100373100.4.4m.65650",-0.44721,-2.1794,0.042086,0.55115
"CHOYP_STIM1.1.1m.13316",0.44721,2.1794,0.042086,0.55115
"CHOYP_LOC409619.1.4m.13984",0.44721,2.1794,0.042086,0.55115
"CHOYP_LOC577351.1.1m.17664",-0.44721,-2.1794,0.042086,0.55115
"CHOYP_DEP1A.1.1m.50111",0.44721,2.1794,0.042086,0.55115
"CHOYP_DICPUDRAFT_147269.1.1m.34818",0.44721,2.1794,0.042086,0.55115
"CHOYP_AAK1.1.1m.14769",0.44721,2.1794,0.042086,0.55115
"CHOYP_WDR59.4.5m.55404",0.44721,2.1794,0.042086,0.55115
"CHOYP_EXOSC10.1.1m.39774",-0.44721,-2.1794,0.042086,0.55115
"CHOYP_contig_038486m.43547",0.44721,2.1794,0.042086,0.55115
"CHOYP_KI16B.1.3m.42636",0.44721,2.1794,0.042086,0.55115
"CHOYP_NEMVEDRAFT_V1G52068.2.3m.36345",0.44721,2.1794,0.042086,0.55115
"CHOYP_HS12A.10.33m.38139",0.44721,2.1794,0.042086,0.55115
"CHOYP_LOC100007585.5.7m.51610",0.44721,2.1794,0.042086,0.55115
"CHOYP_LOC100370662.1.3m.5814",0.44721,2.1794,0.042086,0.55115
"CHOYP_MEG10.80.91m.60740",0.44721,2.1794,0.042086,0.55115
"CHOYP_contig_053912m.64506",-0.44721,-2.1794,0.042086,0.55115
"CHOYP_LOC100371022.1.1m.51315",0.44685,2.1773,0.042271,0.55254
"CHOYP_LOC100638431.3.10m.24462",-0.44675,-2.1766,0.042324,0.55254
"CHOYP_TITIN.6.19m.31591",0.4465,2.1751,0.042454,0.55336
"CHOYP_contig_036886m.41498",0.44615,2.173,0.042636,0.55487
"CHOYP_LOC100373728.1.1m.59746",-0.4459,-2.1714,0.042769,0.55537
"CHOYP_BRAFLDRAFT_125658.1.1m.27104",0.44582,2.171,0.042808,0.55537
"CHOYP_contig_019571m.22867",0.44536,2.1682,0.043047,0.5574
"CHOYP_PSME4.1.1m.18992",-0.44527,-2.1676,0.043098,0.5574
"CHOYP_MP2K5.1.1m.45312",0.44508,2.1664,0.043199,0.55784
"CHOYP_PNP5B.1.1m.21997",0.44466,2.1639,0.043418,0.55818
"CHOYP_FND2.3.4m.40482",0.44463,2.1638,0.043432,0.55818
"CHOYP_LOC100372926.1.3m.29881",0.44446,2.1627,0.043526,0.55818
"CHOYP_LOC100367089.1.4m.1384",0.44425,2.1614,0.043634,0.55818
"CHOYP_BRAFLDRAFT_224325.3.3m.52906",0.44414,2.1608,0.043692,0.55818
"CHOYP_BRAFLDRAFT_119906.1.1m.45319",0.4439,2.1593,0.043818,0.55818
"CHOYP_LOC592709.1.1m.22553",0.44376,2.1585,0.043894,0.55818
"CHOYP_LOC100210536.1.1m.18414",0.44376,2.1585,0.043894,0.55818
"CHOYP_contig_052729m.63227",0.44376,2.1585,0.043894,0.55818
