protein_ID,Day_3_23_C,Day_5_23_C,Day_7_23_C,Day_9_23_C,Day_11_23_C,Day_13_23_C,Day_3_29_C,Day_5_29_C,Day_7_29_C,Day_9_29_C,Day_11_29_C,Day_13_29_C,clusterID,ClusterColor
CHOYP_ISCW_ISCW018425.1.1.m.35608,27.99085,44.86295,41.93365,52.84215,48.5257,31.77855,41.75385,50.74515,53.8851,59.6403,62.23445,59.5877,2,darkred
CHOYP_LOC100180023.1.7.m.11060,192.19015,239.97475,237.45965,306.9115,314.0089,205.9358,263.0083,267.6869,268.7423,355.3099,349.63895,280.25025,2,darkred
CHOYP_CO6A3.2.5.m.39533,0.1,0.1,1.27805,2.89155,9.74115,0.1,6.0464,0.1,0.1,2.04145,11.05015,1.2493,2,darkred
CHOYP_RL18A.6.8.m.61646,46.4227,80.54005,32.1935,42.006,78.7526,28.50455,57.1633,67.58545,55.11965,79.2662,106.0635,53.26215,2,darkred
CHOYP_LOC100175959.1.7.m.1896,70.83475,76.24115,90.79335,65.59305,122.8805,45.56585,89.711,91.49025,59.505,150.3489,124.31315,88.00615,2,darkred
CHOYP_LOC100710670.2.2.m.45011,59.07755,55.3003,64.82935,63.09435,78.75975,61.03525,64.61495,69.92925,61.08085,90.2672,84.48005,76.4064,2,darkred
CHOYP_RL23A.3.6.m.31005,61.0916,69.53675,78.8425,99.4859,129.10725,62.32085,58.88565,108.6764,83.50115,119.4912,130.86365,85.1178,2,darkred
CHOYP_AGAP_AGAP007120.1.1.m.57542,161.03695,183.99195,173.7837,164.47445,260.7856,169.71355,186.79335,176.418,202.7357,225.2919,252.4629,196.0035,2,darkred
CHOYP_contig_009176.m.10652,3.0464,11.0547,0.1,0.1,49.898,0.1,0.1,6.9954,7.5747,36.3197,60.63125,33.37575,2,darkred
CHOYP_TVAG_268110.13.13.m.65590,0.1,0.1,0.1,0.1,5.79795,0.1,0.1,0.1,0.1,4.39895,7.85215,0.1,2,darkred
CHOYP_LOC100699383.1.1.m.63490,167.74565,214.8679,187.204,250.16115,441.3681,159.66895,199.6737,246.7877,172.79125,461.85975,425.6754,177.00385,2,darkred
CHOYP_ACT3.1.3.m.23292,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.39345,0.1,2,darkred
CHOYP_DNAH5.1.2.m.56799,0.1,0.1682,0.1,0.1,0.1829,1.0089,0.1,0.1,0.1,0.30365,1.5827,0.1,2,darkred
CHOYP_DSEC_GM19691.1.1.m.30070,89.8193,87.7166,78.2396,87.4334,77.91445,109.2166,94.9016,117.3842,99.7642,113.1007,102.70125,136.6929,2,darkred
CHOYP_contig_004993.m.5721,3.89935,11.653,36.67355,24.71695,17.3834,47.60125,12.15125,44.14705,91.7976,58.9486,57.05615,79.31845,2,darkred
CHOYP_LOC100533521.2.2.m.52097,77.36905,97.33525,106.33325,102.9474,78.7922,154.5444,73.50565,123.6117,141.14,106.093,119.32145,160.31695,2,darkred
CHOYP_PHUM_PHUM289860.1.1.m.44779,187.8745,198.82895,214.75525,206.31775,199.0615,270.1265,218.49215,248.4214,255.32345,236.07705,263.4231,305.94795,2,darkred
CHOYP_MYS.7.7.m.44342,229.6529,155.28895,154.20775,162.70525,202.76995,211.69315,193.6526,178.2916,196.03405,232.7614,229.8172,213.00175,2,darkred
CHOYP_LOC100893889.2.2.m.64935,188.45175,132.10545,151.98065,163.32115,155.68725,211.3955,172.0326,135.09675,181.06865,234.9345,237.1733,231.72595,2,darkred
CHOYP_YAHB.1.1.m.25422,65.41405,48.64585,29.31065,47.6959,54.5615,56.9378,54.52605,51.20825,56.4039,71.82265,82.52775,85.46705,2,darkred
CHOYP_NEMVEDRAFT_V1G164392.1.3.m.46942,50.5873,55.7324,58.46995,51.666,70.337,82.4137,48.59515,62.88995,60.76185,68.18125,71.1247,83.21725,2,darkred
CHOYP_PCKG.1.2.m.43785,97.49695,96.5534,95.32455,86.96695,102.7659,143.6275,101.1462,117.8268,108.9759,116.1839,127.0171,140.08805,2,darkred
CHOYP_ACTN.1.2.m.15252,121.5965,119.54305,109.97355,105.5317,131.8154,154.1719,121.74945,123.12665,126.41795,134.0607,151.52065,148.8785,2,darkred
CHOYP_FAF2.1.1.m.54271,35.0738,0.1,9.77765,0.1,28.79825,48.3882,0.1,18.9925,38.53965,30.9525,64.2637,63.056,2,darkred
CHOYP_NPC2.5.7.m.30911,62.96075,44.60195,46.80265,43.1648,58.61545,71.50175,39.1573,59.0566,60.7125,73.2115,84.63235,69.0604,2,darkred
CHOYP_DGRI_GH15313.1.1.m.5763,198.74295,170.5402,167.68795,164.93495,195.6335,278.968,186.57445,209.8733,263.99715,210.04115,244.0432,266.8002,2,darkred
