gene,Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C
MLE,423.1871,451.3902,279.31435,311.47925,405.21395,292.4514,268.20645,310.5932,217.60245,280.68625,297.9735,396.64855
MYS.4.7.m.18188,178.9106,211.79105,180.6226,211.19245,162.82165,180.7544,168.01925,183.19635,164.15425,175.8307,158.0989,191.9963
MYS.7.7.m.44342,202.76995,229.8172,211.69315,213.00175,229.6529,193.6526,155.28895,178.2916,154.20775,196.03405,162.70525,232.7614
MYSP.1.9.m.1097,250.0452,360.46315,132.43355,554.6728,79.74485,92.97375,47.1293,240.02425,188.0331,46.3273,99.6236,361.8968
MYSP.4.9.m.2302,477.3096,556.2715,1014.5178,627.3832,853.89705,1147.50595,992.7304,569.57415,784.781,1208.58315,851.46595,434.48165
MYSP.8.9.m.44813,172.4519,176.1415,239.55005,0,203.59025,111.63405,192.5266,241.6663,210.51245,240.88295,207.6088,195.80085
MEP1A,146.9789,188.64875,173.1578,254.53105,121.57785,156.9361,189.22455,146.4434,200.1645,137.77545,158.8146,171.95635
RS27A.1.1.m.22912,3.82945,7.5371,4.5948,0,13.1614,6.95735,6.5997,0,6.8954,12.5509,3.50585,10.83715
USF,70.337,71.1247,82.4137,83.21725,50.5873,48.59515,55.7324,62.88995,58.46995,60.76185,51.666,68.18125
EFCB5,1.39925,1.40335,2.2624,0,9.0272,0.8663,1.24505,0.9985,2.59015,2.5893,0.49505,1.3972
CATL1,56.7996,43.10565,48.1292,27.46355,50.2692,47.22465,67.3639,44.3932,42.9367,29.9204,44.6185,32.20915
PPIB.1.1.m.1745,68.32065,57.1693,76.07665,43.60555,70.99295,61.0578,58.18965,54.04965,69.55425,62.98665,58.8582,40.4069
SNO1,23.441,4.75615,0,0,0,0,20.86235,0,24.1501,7.82855,35.30115,6.84255
ACT.1.1.m.21817,458.4088,515.97005,452.8544,565.067,330.5441,380.6822,388.00225,413.1722,502.85645,411.75135,414.7447,552.68855
